posting_id,title,company,location,salary_min,salary_max,date_posted,remote,seniority,salary_mid
421,Junior Data Scientist,Vantage Health,Manchester,32000.0,42000.0,2025-03-25,No,Junior,37000.0
299,Data Scientist,Orchard Media,Edinburgh,85000.0,85000.0,2025-08-09,Yes,Senior,85000.0
631,Data Scientist II,Grove & Co,Leeds,,,2026-11-04,Unknown,Senior,
1357,Data Analyst,Orchard Media,Remote (Uk),55000.0,75000.0,2026-06-04,Unknown,Mid,65000.0
985,Junior Data Scientist,Marlowe Consulting,Sheffield,,,2026-02-09,Yes,Mid,
677,Insights Analyst,Kestrel Logistics,Birmingham,,,2025-08-16,No,Senior,
519,Insights Analyst,Alderly Bank,Birmingham,28000.0,35000.0,2025-03-27,No,Graduate,31500.0
1508,Insights Analyst,Kestrel Logistics,Sheffield,,,2025-09-08,Unknown,Senior,
149,Junior Data Scientist,Fenwick Insurance,Bristol,28000.0,35000.0,2025-03-21,Yes,Graduate,31500.0
855,Insights Analyst,Vantage Health,Birmingham,,,2025-02-03,Unknown,Senior,
948,Machine Learning Engineer,Grove & Co,Bristol,85000.0,85000.0,2025-06-24,Unknown,Senior,85000.0
1016,Analytics Consultant,Solstice Energy,Glasgow,,,2025-03-13,Hybrid,Junior,
757,Data Science Intern,Kestrel Logistics,Birmingham,75000.0,95000.0,2025-01-09,Unknown,Senior,85000.0
933,Insights Analyst,Northwind Analytics,Sheffield,32000.0,42000.0,2025-12-04,No,Unspecified,37000.0
1562,Business Intelligence Analyst,Alderly Bank,Edinburgh,,,2026-04-27,Yes,Unspecified,
953,Machine Learning Engineer,Kestrel Logistics,Manchester,75000.0,95000.0,2025-09-10,Yes,Senior,85000.0
1098,Data Engineer,BrightPath Retail,Bristol,,,2025-07-28,Hybrid,Graduate,
87,Insights Analyst,Redbridge Telecom,Leeds,65000.0,65000.0,2026-03-17,Unknown,Unspecified,65000.0
1425,Data Scientist,Fenwick Insurance,Edinburgh,,,2025-01-08,Unknown,Graduate,
