posting_id,title,company,location,salary_raw,date_posted_raw,remote,seniority
421,Junior Data Scientist,Vantage Health,manchester,"£32,000 - £42,000",25 Mar 2025,No,Junior
299,Data Scientist,Orchard Media,Edinburgh,"£85,000",09 Aug 2025,yes,Senior
631,Data Scientist II,Grove & Co,Leeds,,2026-04-11,N/A,Senior
1357,Data Analyst,Orchard Media,Remote (UK),£55k-£75k,2026-04-06,,Mid
985,Junior Data Scientist,Marlowe Consulting,Sheffield,,09 Feb 2026,yes,Mid
677,Insights Analyst,Kestrel Logistics,Birmingham,Competitive salary,2025-08-16,No,Senior
519,Insights Analyst,Alderly Bank,Birmingham,"£28,000 - £35,000",27/03/2025,No,Graduate
1508,Insights Analyst,Kestrel Logistics,Sheffield,Competitive salary,2025-08-09,N/A,Senior
149,Junior Data Scientist,Fenwick Insurance,Bristol,"£28,000 - £35,000",2025-03-21,yes,Graduate
855,Insights Analyst,Vantage Health,Birmingham,Competitive salary,2025-03-02,N/A,Senior
948,Machine Learning Engineer,Grove & Co,Bristol,"£85,000",2025-06-24,,Senior
1016,Analytics Consultant,Solstice Energy,Glasgow,,13/03/2025,Hybrid,Junior
757,Data Science Intern,Kestrel Logistics,Birmingham,"£75,000 - £95,000",09/01/2025,N/A,Senior
933,Insights Analyst,Northwind Analytics,Sheffield,"£32,000 - £42,000",04 Dec 2025,No,
1562,Business Intelligence Analyst,Alderly Bank,Edinburgh,Competitive salary,2026-04-27,yes,
953,Machine Learning Engineer,Kestrel Logistics,"Manchester, UK",£75k-£95k,10/09/2025,Yes,Senior
1098,Data Engineer,BrightPath Retail,Bristol,Competitive salary,2025-07-28,Hybrid,Graduate
87,Insights Analyst,Redbridge Telecom,Leeds,"£65,000",17 Mar 2026,,
1425,Data Scientist,Fenwick Insurance,Edinburgh,Competitive salary,08 Jan 2025,,Graduate
1503,Data Scientist II,Ashford Digital,Liverpool,Competitive salary,2025-09-25,No,Junior
1469,Business Intelligence Analyst,Vantage Health,"London, UK",,2025-12-03,Hybrid,Mid
565,Junior Data Scientist,Alderly Bank,london,"£48,000 - £63,000",2025-04-18,,Mid
923,Junior Data Scientist,Marlowe Consulting,Birmingham,Competitive salary,18 Mar 2026,Yes,
1111,Machine Learning Engineer,Northwind Analytics,WFH,"£47,500",2026-05-12,Hybrid,
548,Data Analyst,Grove & Co,Glasgow,,10 Jul 2025,Hybrid,Graduate
1311,Data Scientist,Fenwick Insurance,Remote (UK),"£31,500",05 Apr 2025,N/A,Graduate
1474,Insights Analyst,BrightPath Retail,Glasgow,Competitive salary,09/07/2025,Hybrid,Junior
680,Data Analyst,Solstice Energy,Sheffield,"£32,000 - £42,000",22/08/2025,N/A,Junior
684,Data Analyst,Fenwick Insurance,Liverpool,,30/10/2025,No,Senior
315,Data Engineer,Kestrel Logistics,Bristol,Competitive salary,06/04/2025,Hybrid,Graduate
390,Data Scientist,Ashford Digital,Sheffield,£28k-£35k,05/11/2025,yes,Graduate
24,Machine Learning Engineer,Orchard Media,WFH,"£28,000 - £35,000",26 Jul 2025,Hybrid,Junior
1022,Data Engineer,Grove & Co,Manchester,£28k-£35k,23/01/2025,yes,Junior
470,Analytics Consultant,Marlowe Consulting,Birmingham,,03 Dec 2025,yes,Mid
785,Data Science Intern,Alderly Bank,Liverpool,£28k-£35k,06/04/2025,Hybrid,Graduate
1449,Data Science Intern,Redbridge Telecom,Remote (UK),,09 Dec 2025,yes,Junior
160,Junior Data Scientist,Kestrel Logistics,Manchester,£75k-£95k,2025-11-05,N/A,Senior
1356,Data Engineer,Orchard Media,Sheffield,"£31,500",24/06/2025,Yes,Graduate
216,Machine Learning Engineer,Kestrel Logistics,Glasgow,£75k-£95k,2025-03-14,Yes,Senior
